76;Duchessa Lia Nebbiolo d´Alba DOC 2016;Tinto;Italia;Piemonte;13.5;Duchessa Lia;0;750;Nebbiolo;2016;null;Duchessa Lia Nebbiolo d´Alba DOC 2016
77;Le Filere Vallebelbo Barbaresco DOCG 2016;Tinto;Italia;Piemonte;14;Vallebelbo;15;750;Nebbiolo;2016;Carnes com Molho Picante, Queijos Maduros;Le Filere Vallebelbo Barbaresco DOCG 2016
78;Château Hyot Castillon Cotes de Bordeaux 2016;Tinto;França;Bordeaux;15;Alain Aubert - Chateau Hyot;0;750;Varias Uvas;2016;null;Château Hyot Castillon Cotes de Bordeaux 2016
79;Rocas Viejas Red Blend 2019;Tinto;Argentina;Mendoza;13;Fecovita;17;750;Varias Uvas;2019;Frango Assado, Queijos;Rocas Viejas Red Blend 2019
80;Anciano Reserva 7 Years Old Magnum 2011;Tinto;Espanha;Valdepenãs;13;Anciano;0;750;Tempranillo;2011;null;Anciano Reserva 7 Years Old Magnum 2011
81;Condor Andino Tempranillo 2018;Tinto;Argentina;Mendoza;12.5;Grupo Penaflor;16;750;Tempranillo;2019;Massas, Carnes Vermelhas, Legumes Assados;Condor Andino Tempranillo 2018
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
